title,description,link,guid,isPermaLink,pubDate
Climate change: Alaskan wilderness opens up for oil exploration,The Trump administration pushes ahead with first oil lease sales in an Arctic wildlife refuge.,https://www.bbc.co.uk/news/science-environment-55561536,https://www.bbc.co.uk/news/science-environment-55561536,true,"Wed, 06 Jan 2021 13:37:02 GMT"
Coronavirus variants and mutations: The science explained,Scientists are racing to find out more about variants of the coronavirus that are spreading fast.,https://www.bbc.co.uk/news/science-environment-55404988,https://www.bbc.co.uk/news/science-environment-55404988,true,"Wed, 06 Jan 2021 14:43:15 GMT"
Whitehaven coal mine plans progress as government refuses to call it in,"The government rejects holding an inquiry into plans for a coal mine, meaning it can progress.",https://www.bbc.co.uk/news/uk-england-cumbria-55561852,https://www.bbc.co.uk/news/uk-england-cumbria-55561852,true,"Wed, 06 Jan 2021 15:38:19 GMT"
Palm cockatoo: Why a unique ‘drumming’ bird is in peril,The palm cockatoo is thought to be the only bird to use tools musically to attract a mate.,https://www.bbc.co.uk/news/world-australia-55541188,https://www.bbc.co.uk/news/world-australia-55541188,true,"Wed, 06 Jan 2021 00:05:14 GMT"
Why 2021 could be turning point for tackling climate change,"This year could be a ""make or break"" moment in the fight against global warming.",https://www.bbc.co.uk/news/science-environment-55498657,https://www.bbc.co.uk/news/science-environment-55498657,true,"Fri, 01 Jan 2021 00:09:54 GMT"
Islanders help rescue orca stranded on Orkney beach,Volunteers led the rescue effort to save the young 11ft-long stranded orca in Orkney.,https://www.bbc.co.uk/news/uk-scotland-north-east-orkney-shetland-55559943,https://www.bbc.co.uk/news/uk-scotland-north-east-orkney-shetland-55559943,true,"Wed, 06 Jan 2021 12:23:26 GMT"
Lyme Regis Mary Anning statue designs released,The statue to palaeontologist Mary Anning will stand near her birthplace on Lyme Regis seafront.,https://www.bbc.co.uk/news/uk-england-dorset-55546699,https://www.bbc.co.uk/news/uk-england-dorset-55546699,true,"Tue, 05 Jan 2021 12:10:28 GMT"
Curiosity rover: Watching an eclipse from Mars,What do eclipses look like on Mars? Nasa rovers see the planet's moons pass in front of the Sun.,https://www.bbc.co.uk/news/science-environment-55562154,https://www.bbc.co.uk/news/science-environment-55562154,true,"Wed, 06 Jan 2021 12:59:18 GMT"
Why I'm feeling hopeful about the environment in 2021,The BBC's Tom Heap explores exciting emissions-saving ideas that could help save the planet.,https://www.bbc.co.uk/news/science-environment-55429607,https://www.bbc.co.uk/news/science-environment-55429607,true,"Mon, 04 Jan 2021 00:41:37 GMT"
Bird charity warns of harm from new wind farm,The giant development lies 75 miles away from England's largest sea bird colony in Yorkshire.,https://www.bbc.co.uk/news/science-environment-55509225,https://www.bbc.co.uk/news/science-environment-55509225,true,"Sat, 02 Jan 2021 01:55:09 GMT"
Five ways to reduce your carbon footprint,Climate activists explain how individuals can help reduce their carbon emissions.,https://www.bbc.co.uk/news/science-environment-55437567,https://www.bbc.co.uk/news/science-environment-55437567,true,"Sat, 02 Jan 2021 00:09:51 GMT"
Mexican fisherman 'dies after attack on Sea Shepherd conservationists',Sea Shepherd says the collision happened after it came under attack in the Gulf of California.,https://www.bbc.co.uk/news/world-latin-america-55540506,https://www.bbc.co.uk/news/world-latin-america-55540506,true,"Tue, 05 Jan 2021 03:25:41 GMT"
Hair ice: The strange phenomenon of 'candy floss' on trees,The unusual phenomenon looks like candy floss on the trees - but touch it and it melts away.,https://www.bbc.co.uk/news/uk-northern-ireland-55531529,https://www.bbc.co.uk/news/uk-northern-ireland-55531529,true,"Mon, 04 Jan 2021 13:35:10 GMT"
New Year Honours 2021: 'Green' economist recognised,Prof Dieter Helm is among the environmentalists and scientists who have been recognised.,https://www.bbc.co.uk/news/science-environment-55489720,https://www.bbc.co.uk/news/science-environment-55489720,true,"Wed, 30 Dec 2020 22:30:04 GMT"
Woolly rhino from Ice Age unearthed in Russian Arctic,"Found with most of its organs intact, the rhino is thought to have lived more than 20,000 years ago.",https://www.bbc.co.uk/news/world-europe-55490037,https://www.bbc.co.uk/news/world-europe-55490037,true,"Wed, 30 Dec 2020 22:31:03 GMT"
Lookahead 2021: What's happening in the world of science?,The BBC's global science correspondent Rebecca Morelle looks at what's coming up in the next year.,https://www.bbc.co.uk/news/science-environment-55369012,https://www.bbc.co.uk/news/science-environment-55369012,true,"Thu, 31 Dec 2020 00:00:54 GMT"
Japan developing wooden satellites to cut space junk,A Japanese forestry firm has partnered with Kyoto University in what would be a world first.,https://www.bbc.co.uk/news/business-55463366,https://www.bbc.co.uk/news/business-55463366,true,"Tue, 29 Dec 2020 01:38:46 GMT"
Green body gives verdict on Boris Johnson carbon-cutting policies,The Green Alliance says there is gap between the PM's plans and what is needed to meet carbon targets.,https://www.bbc.co.uk/news/uk-politics-55426155,https://www.bbc.co.uk/news/uk-politics-55426155,true,"Tue, 29 Dec 2020 08:39:06 GMT"
Climate change: Extreme weather causes huge losses in 2020,"Hurricanes, floods and wildfires wreaked havoc, causing deaths and a huge financial impact.",https://www.bbc.co.uk/news/science-environment-55416013,https://www.bbc.co.uk/news/science-environment-55416013,true,"Sun, 27 Dec 2020 23:05:55 GMT"
Atlantic discovery: 12 new species 'hiding in the deep',"A dozen ocean species new to science could already be threatened by climate change, scientists find.",https://www.bbc.co.uk/news/science-environment-55427860,https://www.bbc.co.uk/news/science-environment-55427860,true,"Mon, 28 Dec 2020 12:39:07 GMT"
How Lewis Hamilton is helping make racing greener,"Lewis Hamilton isn't just the world's most successful F1 driver, he's also a key backer of a new off-road electric vehicle racing series called Extreme E.",https://www.bbc.co.uk/news/science-environment-55414712,https://www.bbc.co.uk/news/science-environment-55414712,true,"Sat, 26 Dec 2020 00:02:28 GMT"
Coronavirus: What has Covid done for climate crisis?,Lockdowns around the world have led to record falls in CO2 emissions. But will this lead to long lasting change?,https://www.bbc.co.uk/news/science-environment-55412079,https://www.bbc.co.uk/news/science-environment-55412079,true,"Sun, 27 Dec 2020 00:01:04 GMT"
Portugal outrage after Spanish hunters massacre 500 wild animals,Officials seek a criminal probe after photos of 540 deer and boar corpses are shared on social media.,https://www.bbc.co.uk/news/world-europe-55435940,https://www.bbc.co.uk/news/world-europe-55435940,true,"Thu, 24 Dec 2020 13:03:42 GMT"
Wildfire smoke may spread infectious disease,"Smoke from wildfires could be a surprising new route for the spread of microbes, experts believe.",https://www.bbc.co.uk/news/science-environment-55350185,https://www.bbc.co.uk/news/science-environment-55350185,true,"Fri, 18 Dec 2020 00:27:49 GMT"
Climate change: 2021 will be cooler but still in top six warmest,"Next year will be slightly cooler thanks to La Niña, but will still be one of the hottest on record.",https://www.bbc.co.uk/news/science-environment-55365414,https://www.bbc.co.uk/news/science-environment-55365414,true,"Fri, 18 Dec 2020 19:36:42 GMT"
Climate change: Snowy UK winters could become thing of the past,"By the 2040s most of southern England may no longer get sub-zero days, new Met Office data suggests.",https://www.bbc.co.uk/news/uk-55179603,https://www.bbc.co.uk/news/uk-55179603,true,"Sun, 06 Dec 2020 19:35:41 GMT"
Astronaut Scott Kelly: How to survive a year in space,Record-breaking astronaut Scott Kelly talks about living in space and his desire to go back.,https://www.bbc.co.uk/news/science-environment-55415233,https://www.bbc.co.uk/news/science-environment-55415233,true,"Fri, 25 Dec 2020 00:13:09 GMT"
Space images: The best of 2020,There was stunning cosmic imagery to feast on over the past year - here's our pick of the offerings.,https://www.bbc.co.uk/news/science-environment-55057865,https://www.bbc.co.uk/news/science-environment-55057865,true,"Tue, 29 Dec 2020 00:48:20 GMT"
SLS: Crucial test for Nasa's 'mega-rocket',Part of a giant rocket that will send humans back to the Moon has undergone a critical test.,https://www.bbc.co.uk/news/science-environment-54583587,https://www.bbc.co.uk/news/science-environment-54583587,true,"Mon, 21 Dec 2020 20:43:23 GMT"
Nasa's Mars rover and the 'seven minutes of terror',The US space agency releases an animation to show how its Perseverance robot will land on Mars.,https://www.bbc.co.uk/news/science-environment-55413966,https://www.bbc.co.uk/news/science-environment-55413966,true,"Wed, 23 Dec 2020 08:02:57 GMT"
Elon Musk's Starship prototype makes a big impact,"The US entrepreneur's latest Starship rocket prototype impresses in flight, but crashes on landing.",https://www.bbc.co.uk/news/science-environment-55239628,https://www.bbc.co.uk/news/science-environment-55239628,true,"Wed, 09 Dec 2020 23:45:17 GMT"
OneWeb satellite company launches into new era,The broadband network owned by UK taxpayers and an Indian conglomerate sends up 36 new satellites.,https://www.bbc.co.uk/news/science-environment-55365434,https://www.bbc.co.uk/news/science-environment-55365434,true,"Fri, 18 Dec 2020 12:51:52 GMT"
Christmas star: Jupiter and Saturn align in the night sky,Jupiter and Saturn - the Solar System's largest planets - have crossed paths in the night sky.,https://www.bbc.co.uk/news/science-environment-55364664,https://www.bbc.co.uk/news/science-environment-55364664,true,"Tue, 22 Dec 2020 03:53:19 GMT"
Josef Aschbacher to be next European Space Agency boss,"One task for the Austrian will be managing the interests of EU and non-EU states, such as the UK.",https://www.bbc.co.uk/news/science-environment-55351085,https://www.bbc.co.uk/news/science-environment-55351085,true,"Thu, 17 Dec 2020 15:56:30 GMT"
Capella delivers super sharp satellite radar pictures,US start-up Capella is in the vanguard of companies changing the way satellites see the Earth.,https://www.bbc.co.uk/news/science-environment-55326441,https://www.bbc.co.uk/news/science-environment-55326441,true,"Wed, 16 Dec 2020 14:25:46 GMT"
China's Chang'e-5 mission returns Moon samples,A capsule lands in Inner Mongolia with the first lunar rock to be brought to Earth in 44 years.,https://www.bbc.co.uk/news/science-environment-55323176,https://www.bbc.co.uk/news/science-environment-55323176,true,"Wed, 16 Dec 2020 18:15:22 GMT"
Hayabusa-2: Pieces of an asteroid found inside space capsule,Scientists in Japan open the Hayabusa-2 space capsule that landed just over a week ago.,https://www.bbc.co.uk/news/science-environment-55315502,https://www.bbc.co.uk/news/science-environment-55315502,true,"Tue, 15 Dec 2020 09:48:41 GMT"
Hayabusa-2: Capsule with asteroid samples in 'perfect' shape,A team retrieves a capsule carrying the first significant quantities of rock from an asteroid.,https://www.bbc.co.uk/news/science-environment-55201662,https://www.bbc.co.uk/news/science-environment-55201662,true,"Sun, 06 Dec 2020 10:05:41 GMT"
How Ugandan Nasa scientist Catherine Nakalembe uses satellites to boost farming,Catherine Nakalembe won this year's Africa Food Prize for pioneering work using satellite images.,https://www.bbc.co.uk/news/world-africa-55333624,https://www.bbc.co.uk/news/world-africa-55333624,true,"Sun, 27 Dec 2020 01:04:07 GMT"
DeepMind's AI agent MuZero could turbocharge YouTube,The successor to AlphaGo is being used to create a more efficient type of video compression.,https://www.bbc.co.uk/news/technology-55403473,https://www.bbc.co.uk/news/technology-55403473,true,"Wed, 23 Dec 2020 16:00:01 GMT"
The best science long reads of 2020,A selection of the best science and environment features published this year.,https://www.bbc.co.uk/news/science-environment-55057858,https://www.bbc.co.uk/news/science-environment-55057858,true,"Wed, 30 Dec 2020 09:05:37 GMT"
Covid: Wuhan scientist would 'welcome' visit probing lab leak theory,A top Chinese scientist addresses claims the coronavirus leaked from her lab in the city of Wuhan.,https://www.bbc.co.uk/news/world-asia-china-55364445,https://www.bbc.co.uk/news/world-asia-china-55364445,true,"Mon, 21 Dec 2020 23:01:22 GMT"
Ivory: Elephant decline revealed by shipwreck cargo,A forensic examination of the cargo reveals the devastation of populations caused by the trade.,https://www.bbc.co.uk/news/science-environment-55340975,https://www.bbc.co.uk/news/science-environment-55340975,true,"Thu, 17 Dec 2020 16:00:12 GMT"
'World's ugliest orchid' tops list of new discoveries,"Scientists find 156 new plants and fungi, including six new species of toadstool in British woodlands.",https://www.bbc.co.uk/news/science-environment-55339987,https://www.bbc.co.uk/news/science-environment-55339987,true,"Thu, 17 Dec 2020 09:46:12 GMT"
Climate change: 700-year history of wind recorded in island mud,Lake sediments on remote Marion Island tell the story of the Southern Hemisphere's westerlies.,https://www.bbc.co.uk/news/science-environment-55260908,https://www.bbc.co.uk/news/science-environment-55260908,true,"Fri, 11 Dec 2020 07:57:52 GMT"
New Covid strain: How worried should we be?,Scientists will keep a close eye on this variant to see if it is a better spreader than others.,https://www.bbc.co.uk/news/health-55312505,https://www.bbc.co.uk/news/health-55312505,true,"Tue, 15 Dec 2020 04:47:37 GMT"
Climate change: Law used as stick to beat government,"Plans for airports, energy and roads are facing multiple legal challenges over climate commitments.",https://www.bbc.co.uk/news/uk-politics-55368922,https://www.bbc.co.uk/news/uk-politics-55368922,true,"Sat, 19 Dec 2020 00:13:43 GMT"
